,1e6,5e6,1e7,3e7,5e7
S,0.0,0.0,0.0,0.0,0.0
SE,0.00046929182404509273,0.0005740684313157995,0.0006183169258746624,0.000579190366732929,0.0007834889206405071
I,0.15460575014487543,0.2401672851898513,0.2565206143831529,0.2784954642863535,0.2864018791956151
IE,0.1670526522644743,0.2528285959181582,0.26904894455353523,0.2916449157158817,0.29797567207147635
IS,0.09480681099195432,0.13597831037388397,0.14071574321494607,0.14852178637587443,0.15263146486177737
ISE,0.11882698791894863,0.1812880022183072,0.1941170903393783,0.21158587799288608,0.2192872738651961
ISD,,,,,
ISDE,,,,,
ID,0.13834554564843182,0.21669243578243358,0.2324547129534461,0.2524767515053322,0.25946267948762536
IDE,0.14735005530112366,0.2289119168565693,0.24699113164838826,0.270167542502717,0.275394831043566
IDS,0.09480591909405711,0.13594967312427608,0.14068673194136216,0.14847732843513028,0.15255529046342586
IDSE,0.11939617100589928,0.18274766531203057,0.19601289876902916,0.21400935648507446,0.22157449119828254
