,1e6,5e6,1e7,3e7,5e7
S,0.8106271238320423,0.6240794706277386,0.5558755476521393,0.47068829612851987,0.44002443668330266
SE,0.9587371972582032,0.8688198394092033,0.8260011691744155,0.7497293803614207,0.7141745743920342
I,0.5239299475321118,0.4432467928403145,0.40622158455708235,0.3486542476345796,0.32535386341838224
IE,0.5240502051504171,0.4438556943673717,0.4067346528224379,0.3490557216306794,0.32576397279758884
IS,0.5165310614687425,0.4317697404395362,0.3927358875031518,0.3345241702093399,0.3107007062883159
ISE,0.5215288197198718,0.43876329721270735,0.4005778206830317,0.3421772114010945,0.31767742368823404
ISD,,,,,
ISDE,,,,,
ID,0.5259415190439621,0.4477569677326409,0.41076995963474155,0.3540177705709837,0.3317349326343022
IDE,0.5263747689368855,0.44847033310921974,0.4117299029250293,0.35509158903346627,0.33263411424992234
IDS,0.5171921531253061,0.4330670531533388,0.39393646680205235,0.3356185996560204,0.31179795107618435
IDSE,0.523162835415543,0.44315120115673845,0.405091939745887,0.3480857834434877,0.32340252328529373
