	file	orig	I	IE	IS	ISE
edges	ts_1000s_3e7	164542	144226	141423	206070	143627
runtime	ts_1000s_3e7	3.26	4.10	4.48	1.35	1.50
edges	ts_10s_5e7	112231	34704	33684	47782	33543
runtime	ts_10s_5e7	1.44	0.85	375.91	0.29	0.28
edges	ts_500s_5e7	246232	194599	191439	275779	194565
runtime	ts_500s_5e7	5.41	6.87	7.66	1.76	1.91
edges	ts_1000s_1e7	58864	56141	55090	79964	55818
runtime	ts_1000s_1e7	0.98	1.61	1.62	0.51	0.51
edges	ts_1000s_5e6	31530	29684	29099	42027	29384
runtime	ts_1000s_5e6	0.45	0.64	0.73	0.28	0.28
edges	ts_50s_5e7	166596	89159	87751	125235	88851
runtime	ts_50s_5e7	2.53	1.93	2.04	0.68	0.70
edges	ts_1000s_5e7	274187	232216	228174	327905	231947
runtime	ts_1000s_5e7	6.02	10.78	12.78	2.45	2.63
edges	ts_1000s_1e6	9186	8335	8208	10587	8235
runtime	ts_1000s_1e6	0.09	0.11	0.12	0.07	0.08
edges	ts_100s_5e7	192550	112948	110957	159348	112565
runtime	ts_100s_5e7	3.64	3.14	3.32	1.09	1.14
